test0,test1,test2,test3,test4
"{'NDCG@5': 0.3009950765918522, 'HR@5': 0.4063358179678305}","{'NDCG@5': 0.2670097263936463, 'HR@5': 0.36205207166853304}","{'NDCG@5': 0.24184457716367996, 'HR@5': 0.3385099541629609}","{'NDCG@5': 0.20141346682294628, 'HR@5': 0.2909252062453126}","{'NDCG@5': 0.16055256667475637, 'HR@5': 0.23575906241482694}"
"{'NDCG@5': 0.2999081755749918, 'HR@5': 0.404276186739898}","{'NDCG@5': 0.26756992043905786, 'HR@5': 0.361562150055991}","{'NDCG@5': 0.24185009692318687, 'HR@5': 0.3379626462338373}","{'NDCG@5': 0.20175030185193457, 'HR@5': 0.29017522329037976}","{'NDCG@5': 0.16072985038862603, 'HR@5': 0.2354183701281003}"
"{'NDCG@5': 0.30070047718590165, 'HR@5': 0.4045704197724598}","{'NDCG@5': 0.26732472126151197, 'HR@5': 0.3624020156774916}","{'NDCG@5': 0.24232803443916917, 'HR@5': 0.33994663747691045}","{'NDCG@5': 0.20176466596836215, 'HR@5': 0.2896297811413377}","{'NDCG@5': 0.16092807344083054, 'HR@5': 0.23644044698828018}"
"{'NDCG@5': 0.300892443123172, 'HR@5': 0.40535504119262455}","{'NDCG@5': 0.26712782576473004, 'HR@5': 0.36226203807390817}","{'NDCG@5': 0.2424005654769746, 'HR@5': 0.33905726209208453}","{'NDCG@5': 0.20201417669531496, 'HR@5': 0.2904479443649008}","{'NDCG@5': 0.1614182005677092, 'HR@5': 0.2367130008176615}"
"{'NDCG@5': 0.3004904805289082, 'HR@5': 0.40496273048254217}","{'NDCG@5': 0.26802008974139324, 'HR@5': 0.3629619260918253}","{'NDCG@5': 0.24275872908738047, 'HR@5': 0.3385783676541014}","{'NDCG@5': 0.20220325707453385, 'HR@5': 0.2905843049021613}","{'NDCG@5': 0.1615033024007024, 'HR@5': 0.2365085854456255}"
"{'NDCG@5': 0.30109085891954995, 'HR@5': 0.40476657512750097}","{'NDCG@5': 0.2679289811105509, 'HR@5': 0.3623320268756999}","{'NDCG@5': 0.24328809221931416, 'HR@5': 0.34008346445919135}","{'NDCG@5': 0.2027349540645777, 'HR@5': 0.292084270812027}","{'NDCG@5': 0.16244926746379823, 'HR@5': 0.23814390842191333}"
"{'NDCG@5': 0.30037080610738914, 'HR@5': 0.4039819537073362}","{'NDCG@5': 0.26741814399572506, 'HR@5': 0.36219204927211646}","{'NDCG@5': 0.2436760640139265, 'HR@5': 0.3401518779503318}","{'NDCG@5': 0.20328533398857104, 'HR@5': 0.29262971296106904}","{'NDCG@5': 0.16156155067950984, 'HR@5': 0.23664486236031615}"
"{'NDCG@5': 0.30053434288828057, 'HR@5': 0.4038838760298156}","{'NDCG@5': 0.26857991895967204, 'HR@5': 0.3629619260918253}","{'NDCG@5': 0.24382786957349226, 'HR@5': 0.34090442635287677}","{'NDCG@5': 0.20313221963370595, 'HR@5': 0.29276607349832956}","{'NDCG@5': 0.16207931529560266, 'HR@5': 0.2383483237939493}"
"{'NDCG@5': 0.3004310706527259, 'HR@5': 0.4040800313848568}","{'NDCG@5': 0.2689007590548159, 'HR@5': 0.3628919372900336}","{'NDCG@5': 0.2432370016719623, 'HR@5': 0.33980981049462955}","{'NDCG@5': 0.20313071683195227, 'HR@5': 0.2920160905433967}","{'NDCG@5': 0.16168718796078205, 'HR@5': 0.23828018533660397}"
"{'NDCG@5': 0.29990736078383257, 'HR@5': 0.40515888583758336}","{'NDCG@5': 0.269534807449326, 'HR@5': 0.36415173572228443}","{'NDCG@5': 0.24338552798866248, 'HR@5': 0.3405623588971745}","{'NDCG@5': 0.2040170884225033, 'HR@5': 0.2931751551101111}","{'NDCG@5': 0.16216555346098271, 'HR@5': 0.23841646225129462}"
